accuracy,precision,recall,f1,parameters,model
0.601917342,0.601917342,1,0.751496131,Baseline,baseline
0.675924785,0.687562388,0.846053063,0.758618158,Baseline,elo
0.654508712,0.756293413,0.62856207,0.62856207,adv = 0,elo
0.676703483,0.696984081,0.815560113,0.751624208,"5,5",Logistic Regression
0.643620429,0.692248533,0.73066735,0.710939286,"5,5",KNN
0.675524691,0.688597107,0.837990259,0.755983812,"10,5",Logistic Regression
0.646900546,0.694524146,0.734256174,0.713837719,"10,5",KNN
0.676447223,0.696571845,0.816030078,0.751583835,"5,10",Logistic Regression
0.64674679,0.695270956,0.731778177,0.713057597,"5,10",KNN
0.67678036,0.697478684,0.814321114,0.7513847,"15,10",Logistic Regression
0.648796863,0.695813653,0.736392378,0.715528157,"15,10",KNN
0.599774492,0.599794977,0.999914552,0.749815782,"5,5,no_elo",Logistic Regression
0.54147554,0.603881666,0.684610784,0.641717226,"5,5,no_elo",KNN
